Ranking,Project Name,Stars,Forks,Watchers,Open Issues,Created At,Last Commit,Size (KB),Description,Language,Repo URL
986,api-v2,108,12,108,0,2017-04-04T16:17:28Z,2017-04-04T18:54:35Z,659,,Elixir,https://github.com/usecanvas/api-v2
987,ex_cva,108,5,108,3,2022-11-19T05:23:55Z,2024-12-17T11:09:59Z,555,Class Variance Authority for Elixir,Elixir,https://github.com/benvp/ex_cva
988,flippant,107,5,107,1,2016-05-17T04:57:10Z,2025-03-10T13:55:41Z,288,:traffic_light: Feature flipping for the Elixir world,Elixir,https://github.com/sorentwo/flippant
989,ecto_shorts,107,19,107,4,2019-06-10T19:47:38Z,2024-10-17T06:10:00Z,146,Shortcuts for ecto,Elixir,https://github.com/MikaAK/ecto_shorts
990,ecto_query_library,107,17,107,3,2015-10-04T19:33:38Z,2019-12-03T15:57:40Z,265,,Elixir,https://github.com/parkerl/ecto_query_library
991,vaultex,107,37,107,6,2016-07-13T10:50:00Z,2024-08-02T20:43:07Z,1400,HashiCorp Vault client for Elixir.,Elixir,https://github.com/findmypast/vaultex
992,learn-elixir-the-hard-way,107,11,107,0,2018-04-02T12:15:40Z,2018-05-19T05:53:58Z,1992,"Repository with source code for ""Learn Elixir The Hard Way"" workshop.",Elixir,https://github.com/WhiteRookPL/learn-elixir-the-hard-way
993,beam_file,107,8,107,0,2020-05-28T18:05:17Z,2025-01-02T08:48:06Z,4415,BeamFile - A peek into the BEAM file,Elixir,https://github.com/hrzndhrn/beam_file
994,pushex,107,4,107,2,2018-11-25T05:55:00Z,2024-12-31T20:21:12Z,297,Phoenix-based websocket push implementation,Elixir,https://github.com/pushex-project/pushex
995,emlx,107,3,107,6,2024-11-18T14:33:37Z,2025-02-18T13:59:02Z,187,MLX Backend for Nx,Elixir,https://github.com/elixir-nx/emlx
996,phoenix_ui,107,5,107,7,2022-07-03T16:02:21Z,2024-12-13T22:59:53Z,433,Beautifully designed components that you can copy and paste into your Phoenix Framework apps. Made with Tailwind CSS. Open source.,Elixir,https://github.com/keatz55/phoenix_ui
997,boom,106,13,106,7,2018-12-18T23:29:43Z,2024-10-25T14:49:34Z,301,Exception notification for plug based applications https://hex.pm/packages/boom_notifier,Elixir,https://github.com/wyeworks/boom
